#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
abstrusos,M,P,abstruso
absurda,F,S,absurdo
absurdas,F,P,absurdo
absurdo,M,S,absurdo
absurdos,M,P,absurdo
abuhada,F,S,abuhado
abuhadas,F,P,abuhado
abuhado,M,S,abuhado
abuhados,M,P,abuhado
abuhardillada,F,S,abuhardillado
abuhardilladas,F,P,abuhardillado
abuhardillado,M,S,abuhardillado
abuhardillados,M,P,abuhardillado
abulense,A,S
abulenses,A,P,abulense
abultada,F,S,abultado
abultadas,F,P,abultado
abultado,M,S,abultado
abultados,M,P,abultado
abundada,F,S,abundado
abundadas,F,P,abundado
abundado,M,S,abundado
abundados,M,P,abundado
abundancial,A,S,abundancial
abundanciales,A,P,abundancial
abundante,A,S
abundantes,A,P,abundante
abundosa,F,S,abundoso
abundosas,F,P,abundoso
abundoso,M,S,abundoso
abundosos,M,P,abundoso
aburelada,F,S,aburelado
abureladas,F,P,aburelado
aburelado,M,S,aburelado
aburelados,M,P,aburelado
aburrada,F,S,aburrado
aburradas,F,P,aburrado
aburrado,M,S,aburrado
aburrados,M,P,aburrado
aburridor,M,S,aburridor
aburridora,F,S,aburridor
aburridoras,F,P,aburridor
aburridores,M,P,aburridor
abusada,F,S
abusadas,F,P
abusado,M,S
abusador,M,S,abusador
abusadora,F,S,abusador
abusadoras,F,P,abusador
abusadores,M,P,abusador
abusados,M,P
abusionera,F,S,abusionero
abusioneras,F,P,abusionero
abusionero,M,S,abusionero
abusioneros,M,P,abusionero
abusiva,F,S,abusivo
abusivas,F,P,abusivo
abusivo,M,S,abusivo
abusivos,M,P,abusivo
abusona,F,S,abusón
abusonas,F,P,abusón
abusones,M,P,abusón
abusón,M,S,abusón
abuñolada,F,S,abuñolado
abuñoladas,F,P,abuñolado
abuñolado,M,S,abuñolado
abuñolados,M,P,abuñolado
abuñuelada,F,S,abuñuelado
abuñueladas,F,P,abuñuelado
abuñuelado,M,S,abuñuelado
abuñuelados,M,P,abuñuelado
abyecta,F,S,abyecto
abyectas,F,P,abyecto
abyecto,M,S,abyecto
abyectos,M,P,abyecto
abúlica,F,S,abúlico
abúlicas,F,P,abúlico
abúlico,M,S,abúlico
abúlicos,M,P,abúlico
acabable,A,S,acabable
acabables,A,P,acabable
acabada,F,S
acabadas,F,P
acabado,M,S
acabador,M,S
acabadora,F,S
acabadoras,F,P
acabadores,M,P,acabador
acabados,M,P
acaballada,F,S,acaballado
acaballadas,F,P,acaballado
acaballado,M,S,acaballado
acaballados,M,P,acaballado
acaballerada,F,S,acaballerado
acaballeradas,F,P,acaballerado
acaballerado,M,S,acaballerado
acaballerados,M,P,acaballerado
acabellada,F,S,acabellado
acabelladas,F,P,acabellado
acabellado,M,S,acabellado
acabellados,M,P,acabellado
acabronada,F,S,acabronado
acabronadas,F,P,acabronado
acabronado,M,S,acabronado
acabronados,M,P,acabronado
